id,name,parent_album,place_in_tracklist,featuring,parent_artist
508,Engano Seu,41,7,,14
509,É Noix,41,8,Thiaguinho,14
510,Toda Sua,41,9,,14
511,Você Não Vive Sem,41,10,,14
512,Dona de Mim,41,11,,14
513,Lado B,41,12,,14
514,No Ponto,41,13,,14
515,Linha de Frente,41,14,,14
516,Invitation,42,1,,8
517,Do You Wanna Come Over?,42,2,,8
518,Make Me...,42,3,G-Eazy,8
519,Private Show,42,4,,8
520,Man on the Moon,42,5,,8
521,Just Luv Me,42,6,,8
522,Clumsy,42,7,,8
523,Slumber Party,42,8,,8
524,Just Like Me,42,9,,8
525,Love Me Down,42,10,,8
526,Hard to Forget Ya,42,11,,8
527,What You Need,42,12,,8
528,Better,42,13,,8
529,Change Your Mind (No Seas Cortes),42,14,,8
530,Liar,42,15,,8
531,If I'm Dancing,42,16,,8
532,Coupure Électrique,42,17,,8
533,Alice,43,1,,21
534,Stupid Love,43,2,,21
535,Rain on Me,43,3,Ariana Grande,21
536,Free Woman,43,4,,21
537,Fun Tonight,43,5,,21
538,911,43,6,,21
539,Plastic Doll,43,7,,21
540,Sour Candy,43,8,Blackpink,21
541,Enigma,43,9,,21
542,Replay,43,10,,21
543,Sine from Above,43,11,Elton John,21
544,1000 Doves,43,12,,21
545,Babylon,43,13,,21
546,Kiss & Tell,44,1,,35
547,I Won't Apologize,44,2,,35
548,Falling Down,44,3,,35
549,I Promise You,44,4,,35
550,Crush,44,5,,35
551,Naturally,44,6,,35
552,The Way I Loved You,44,7,,35
553,More,44,8,,35
554,As A Blonde,44,9,,35
555,I Don't Miss You At All,44,10,,35
556,Stop & Erase,44,11,,35
557,I Got U,44,12,,35
558,Tell Me Something I Don't Know,44,13,,35
559,Rolling in the Deep,45,1,,1
560,Rumour Has It,45,2,,1
561,Turning Tables,45,3,,1
562,Don't You Remember,45,4,,1
563,Set Fire to the Rain,45,5,,1
564,He Won't Go,45,6,,1
565,Take It All,45,7,,1
566,I'll Be Waiting,45,8,,1
567,One and Only,45,9,,1
568,Lovesong,45,10,,1
569,Someone like You,45,11,,1
570,Your Love Is My Drug,46,1,,19
571,Tik Tok,46,2,,19
572,Take It Off,46,3,,19
573,Kiss N Tell,46,4,,19
574,Stephen,46,5,,19
575,Blah Blah Blah,46,6,3OH!3,19
576,Hungover,46,7,,19
577,Party At A Rich Dude's House,46,8,,19
578,Backstabber,46,9,,19
579,Blind,46,10,,19
580,Dinosaur,46,11,,19
581,Dancing With Tears In My Eyes,46,12,,19
582,Boots & Boys,46,13,,19
583,Animal,46,14,,19
584,Cannibal,47,1,,19
585,We R Who We R,47,2,,19
586,Sleazy,47,3,,19
587,Blow,47,4,,19
588,The Harold Song,47,5,,19
589,Crazy Beautiful Life,47,6,,19
